Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage,Node size
Stripe,stripe.com,"Stripe is an online-based, payment processing platform that gives online merchants the ability to securely accept credit card payments through the use of custom-built forms.",United States,Product As A Service,2. Payments Initiation,2010,Mature,"1,950,940,000",Series G,150
Affirm,affirm.com,Affirm is a consumer finance company that seeks to provide shoppers with instant point-of-sale financing for online purchases. Affirm empowers shoppers to buy now and pay later in monthly installments and at reasonable interest rates through its transparent financing solutions.,United States,Product As A Service,4. Cards,2012,Emerging,"1,775,000,000",Series G+,150
Checkout.com,checkout.com,"Checkout.com helps companies accept more payments around the world through one integration. Its unified global payment processing platform features in-country acquiring, relevant payment methods, feature parity across geographies, fraud filters, and reporting features, via one API.",United Kingdom,Product As A Service,4. Cards,2012,Emerging,"830,000,000",Series C,150
Plaid Technologies,plaid.com,"Plaid is a provider of API that power developer of financial services applications and help them connect with user bank accounts.On January 13th, 2020, Plaid was acquired by Visa at a valuation of $5.3B.",United States,Data Aggregators,10. Open Banking,2012,Emerging,"309,800,000",Series C,150
Divvy,getdivvy.com,"Divvy is a secure financial platform for businesses to manage payments and subscriptions, build strategic budgets, and eliminate expense reports. By integrating real-time tracking for every business transaction, Divvy provides organizations with instant insight into their spend.",United States,Product As A Service,"8. KYC/B, Issuance, Underwriting",2016,Mature,"667,500,000",Series D,150
Checkr,checkr.com,"Checkr offers a background checking service with a focus on the gig economy. Checkr captures criminal records, driving records, employment verifications for those the Bureau of Labor Statistics says are in alternative employment arrangements. Using Checkr's advanced background check technology, companies of all sizes can better understand the dynamics of the changing workforce, bring transparency and fairness to their hiring, and ultimately build a better future for workers.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Mature,"309,000,000",Series D,150
Brex,brex.com,Brex is a B2B financial product provider that offers a corporate credit card for technology companies.,United States,Product As A Service,4. Cards,2017,Emerging,"765,120,000",Series C,150
Tipalti,tipalti.com,"Tipalti provides a cloud based technology platform aimed at mid-market companies, who have traditionally been underserved by banks, to streamline all phases of the global accounts payable workflow. The solution streamlines and optimizes businesses' end-to-end global payables workflow, while giving companies access to cross border payments, currency conversion, and payments across a wide range of methods.",United States,Product As A Service,3. Payments Processing,2010,Mature,"286,000,000",Series E,150
States Title,statestitle.com,States Title uses predictive analytics and technology to create a modern title and escrow platform.,United States,Product As A Service,1. Lending,2016,Emerging,"398,220,000",Series C,150
Auth0,auth0.com,"Auth0 provides a SaaS, developer-centric, identity management platform for customers to secure their web, mobile, IoT, and internal applications.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2013,Emerging,"332,700,000",Series F,150
Flywire,https://www.flywire.com/,"Flywire is a high-growth vertical payments company, trusted by organizations around the world to deliver on their customers’ most important moments. Unlike other companies, Flywire is proven to solve vertical-specific payment and receivables problems for organizations that deliver high-value services.",United States,Product As A Service,3. Payments Processing,2011,Mature,"263,250,000",Series E,150
Satispay,satispay.com,"Satispay is a smart payment platform that enables individuals to pay in affiliated stores (online and offline), exchange money with friends and set aside small amounts of money. Businesses can accept payment from customers by integrating their in-store payment application to their smartphone, tablet, and PC systems. The company also offers e-commerce plugins and customized links for online stores. Satispay service section within the app allows to pay slips and public administration fines and taxes, as well as to top up mobile phones or send gifts to friends, save money and donate to charity.",Italy,Product As A Service,2. Payments Initiation,2013,Mature,"159,640,000",Series C,100
Tink,tink.com,"Tink enables banks to become data-driven, capture the opportunities of open banking, and deliver a more personal, intelligent financial experience to their users. Tink provides APIs as building blocks to create banking services. The company's products include account aggregation, categorization, payment initiation, and personal finance management.",Sweden,General BaaS Platforms,9. Developer Platforms,2012,Mature,"309,170,000",Series E,150
Behavox,behavox.com,"Behavox is an enterprise compliance software company that provides employee surveillance solutions. The company's solutions allow senior management and risk and compliance officers to detect cases of market abuse, insider threat, collusion and reckless behavior in real time.",United Kingdom,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Emerging,"121,400,000",Series C,100
Great Rock Capital,greatrockcapital.com,"Great Rock Capital is an asset-focused commercial finance company specializing in serving the needs of middle-market companies with a wide variety of secured lending products. Great Rock Capital provides fast, flexible and creative financing solutions to maximize its customers' liquidity to enable them to better execute their business plans.",United States,Product As A Service,5. Wealth Management,2015,Emerging,"100,000,000",Series C,100
MX Technologies,mx.com,"MX develops omnibanking technologies that enable partners and financial institutions to break down silos and drive customer-centric banking relationships. MX brings financial management and transactional banking features together in a single native cross-platform app. The company also offers a data API that integrates with current apps, enabling an omnichannel experience.",United States,Data Aggregators,10. Open Banking,2010,Emerging,"154,130,000",Series B,100
Remitly,remitly.com,"Remitly is an independent digital remittance company that facilitates transfers through its global money transfer network across Africa, Asia, Central Europe, Central and South America. Its mobile app eliminates the need for the forms, codes, agents, extra time and fees typical of the traditional, century-old money transfer process.",United States,Product As A Service,3. Payments Processing,2011,Mature,"520,270,000",Series F,150
Amount,amount.com,"Amount helps banks and financial institutions modernize retail banking through a modern API framework that streamlines workflows and automates account originations across all products and channels. Amount360 provides banks with a 360-degree view of their customers by bringing together bank relationship data, 3rd party data sources, as well as Spring Labs blockchain network to instantly adjudicate customer risk profiles, generate mitigation strategies, and execute configurable mitigation workflows to authenticate customers.",United States,General BaaS Platforms,9. Developer Platforms,2019,Nascent,"88,500,000",Series C,100
Revolut Developer,revolut.com,"Revolut offers a personal money cloud, cutting hidden banking fees to zero. It allows users to exchange currencies at perfect interbank rates, send money through social networks and spend with a multi-currency card everywhere MasterCard is accepted. All this is done at the touch of a button, in a mobile application. The company's goal is to completely remove all hidden banking costs.",United Kingdom,General BaaS Platforms,9. Developer Platforms,2015,Emerging,"915,980,000",Series D,150
ClearBank,clear.bank,"ClearBank a is UK-based clearing bank. The company plans to create a new level of open competition and transparency within the U.K. financial services marketplace. ClearBank is neutral, independent and is not constrained by legacy infrastructure. Its state of the art technology transforms the ability for financial institutions to provide Current Accounts to their customers, resulting in faster and more efficient payments, while delivering complete financial inclusion. ClearBank is built on a platform specifically designed for clearing services, connected to all UK payment schemes and designed in accordance with ISO 20022.",United Kingdom,Product As A Service,2. Payments Initiation,2014,Emerging,"109,460,000",Series A,100
Blend,blend.com,"Blend simplifies getting mortgages, consumer loans, and deposit accounts. The firm's Digital Lending Platform helps financial institutions increase productivity, deepen customer relationships, and deliver customer experiences. With Blend’s technology, lenders can make the journey from application to close fast and easy for consumers any time, anywhere.",United States,Product As A Service,1. Lending,2012,Emerging,"384,610,000",Series F,150
BlueVine,bluevine.com,"BlueVine provides flexible, working capital to small and medium-sized enterprises, giving them quick access to funds needed to purchase inventory, cover expenses, or expand operations. Specifically, the company has developed an online, cloud-based platform for invoice factoring that enables rapid advances on outstanding invoices.",United States,Product As A Service,1. Lending,2013,Mature,"766,120,000",Series F,150
Plastiq,plastiq.com,"Plastiq is an online payment company created to offer consumers more convenient, flexible, and secure payment options for credit card purchases. The company has been developing payment solutions that allow consumers across North America to use credit cards for payments in situations when they previously could not. Plastiq charges consumers a nominal fee for each transaction, a fee historically charged to the merchant who accepts the card, for the added flexibility to use their preferred credit cards when they choose.",United States,Product As A Service,2. Payments Initiation,2012,Mature,"158,400,000",Series D,100
Wealthfront,wealthfront.com,"Wealthfront is a robo-advisor offering the combination of financial planning, investment management and banking-related services exclusively through software. Anyone with $500 can open a Wealthfront investment account which offers access to the company's unique PassivePlus investment strategy and comprehensive automated financial planning service.",United States,Product As A Service,5. Wealth Management,2011,Mature,"204,500,000",Series G,100
solarisBank,solarisbank.de,"solarisBank is a Berlin-based fintech company that offers Banking as a Platform service. solarisBank provides a banking platform that allows mostly digital companies and financial services start-ups to access various banking service modules, which then can be integrated into their processes, websites or mobile applications.",Germany,Product As A Service,7. Other (eg. treasury),2016,Mature,"178,460,000",Series C,100
Quantexa,quantexa.com,"Quantexa empowers organizations to drive better decisions from their data. Quantexa uncovers hidden customer connections and behaviors to solve challenges in financial crime, customer insight and data analytics.",United Kingdom,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2016,Emerging,"90,700,000",Series C,100
Bitso,https://bitso.com/,Bitso is a Mexican Bitcoin exchange that facilitates the use of Bitcoin as a mechanism for substantially improving the efficiency of the economic flow. The company aim to significantly decrease the costs and increase the speed of transactions.,Mexico,Transaction Infrastructure,12. Crypto-as-a-service,2014,Mature,"64,660,000",Series C,100
Very Good Security,verygoodsecurity.com,"Very Good Security is a modern approach to data security and compliance, enabling companies to use sensitive data without the liability or costs of data custodianship. VGS' purpose-built infrastructure lets companies retain full use of sensitive data without ever needing to see or hold the data themselves. Companies can thus rapidly adopt a comprehensive security and privacy posture, making it easy to inherit and maintain compliance certifications like PCI-DSS, SOC-2, GDPR, CCPA, HIPAA and more.",United States,Data Aggregators,11. Other Financial Data,2016,Emerging,"104,900,000",Series C,100
